ÐòºÅ,x,y
201,121.0979309,33.30548832
202,121.0984699,33.5926348
203,121.0987843,33.47064358
204,121.0988741,33.54951566
205,121.0987843,33.63997601
206,121.0990538,33.31460622
207,121.0998173,33.65529229
208,121.1006258,32.65034698
209,121.102108,33.67078823
210,121.102647,33.32381395
211,121.1029165,32.67109806
212,121.103186,32.7471704
213,121.1030962,33.30526374
214,121.1050725,33.31465113
215,121.1057911,32.65030206
216,121.105881,33.59276954
217,121.105881,33.6399311
218,121.1061505,33.4706885
219,121.1061504,33.54951566
220,121.1064199,33.58225926
221,121.1071206,33.67165061
222,121.1074979,33.49642523
223,121.1074979,33.52377893
224,121.1082166,33.30526374
225,121.1085085,33.60907397
226,121.1084412,33.65596602
227,121.1087106,32.67109806
228,121.1087556,33.32376903
229,121.1099724,32.74823476
230,121.1103725,33.48339966
231,121.110395,33.53657992
232,121.1110014,32.65034698
233,121.1108936,32.70028433
234,121.111181,33.31442655
235,121.1120793,32.73894332
236,121.1122141,33.67253994
237,121.1128878,33.63979635
238,121.1130675,33.59254497
239,121.113337,33.30526374
240,121.1135616,33.47055375
241,121.1135616,33.54938092
242,121.114936,32.67101721
243,121.114909,33.3236792
244,121.1161217,32.65027961
245,121.117065,33.65677451
246,121.1173075,33.67342927
247,121.1173345,32.74844301
248,121.1174692,33.52377893
249,121.1176489,33.4963354
250,121.1180082,33.58225926
251,121.1182777,33.31451639
252,121.1192883,33.60907397
253,121.1192659,33.63997601
254,121.1201642,33.59250005
255,121.1202989,32.7387412
256,121.1205684,32.70020348
257,121.1208828,33.32358937
258,121.1208828,33.47064358
259,121.1208828,33.54942583
260,121.1211523,32.67105315
261,121.1213769,32.65021223
262,121.1223201,33.6744264
263,121.1250151,33.65744824
264,121.1256888,32.748982
265,121.1257562,33.64006584
266,121.1261829,33.48330983
267,121.126093,33.53644518
268,121.1264973,32.65007748
269,121.1270812,33.59254497
270,121.1273507,32.67087348
271,121.1273058,32.68538128
272,121.1275753,33.49642523
273,121.1275304,33.52373401
274,121.1273507,33.67518997
275,121.1281592,33.47064358
276,121.128249,33.54938092
277,121.129327,33.58212451
278,121.1294617,32.7387412
279,121.129866,33.60907397
280,121.1302702,32.70020348
281,121.1316177,32.65007748
282,121.1322016,33.63997601
283,121.1325609,33.67604337
284,121.1330999,33.65812198
285,121.1335041,32.67082857
286,121.1335311,32.74906285
287,121.1340881,33.59254497
288,121.1356152,33.47064358
289,121.1355254,33.54965041
290,121.136783,32.65003257
291,121.1375466,33.6769866
292,121.1375915,33.4963354
293,121.1376813,33.52350944
294,121.1384898,32.73867383
295,121.1386245,33.64006585
296,121.1397025,32.67082857
297,121.1398373,32.70006873
298,121.1400394,33.65866097
299,121.1410051,33.58221434
300,121.1408254,33.60898413
301,121.14105,32.68524653
302,121.1410949,33.59254497
303,121.1413644,32.74893708
304,121.1419932,32.65001011
305,121.1419034,33.48339966
306,121.1419932,33.53644518
307,121.1429365,33.47055375
308,121.142667,33.67779509
309,121.1429365,33.54938092
310,121.1451373,33.63997601
311,121.145856,33.29385513
312,121.1459458,32.67060399
313,121.1469789,33.65933471
314,121.1472933,32.73851663
315,121.1476526,33.49629048
316,121.1475179,33.52364418
317,121.1477424,33.6786934
318,121.1481916,33.59250005
319,121.1485509,33.30436542
320,121.1492022,32.74884725
321,121.1496469,32.64988884
322,121.1495391,32.69993398
323,121.1503476,33.47055375
324,121.1502128,33.54938092
325,121.1510213,33.60907397
326,121.151156,33.29390005
327,121.1510662,33.63997601
328,121.152234,32.67055907
329,121.1525934,33.58221434
330,121.152773,33.6795468
331,121.1534917,33.65973895
332,121.1545247,33.30414084
333,121.154929,32.68524653
334,121.1551311,33.5926348
335,121.1555129,32.7382621
336,121.1564112,33.29390005
337,121.1569053,33.64015568
338,121.1570849,32.74884725
339,121.1572646,32.64985291
340,121.1576239,33.47055375
341,121.1576239,33.48348949
342,121.1576239,33.49629048
343,121.1576239,33.52364418
344,121.1576239,33.53657992
345,121.1576239,33.54951566
346,121.1578934,33.68035528
347,121.1583426,32.67060399
348,121.1588366,33.31492063
349,121.1592409,32.69986661
350,121.1599146,33.66041269
351,121.1603189,33.30414084
352,121.1603189,33.32489193
353,121.1601841,33.60920871
354,121.1609926,32.70977054
355,121.1615316,32.71960709
356,121.161846,33.29367547
357,121.1621155,33.59254497
358,121.1628791,32.73847171
359,121.1630138,33.6399311
360,121.164002,33.58221434
361,121.1645409,32.67051416
362,121.1649003,32.62919165
363,121.1648104,32.64976307
364,121.1653045,33.66081693
365,121.1659782,33.32489193
366,121.166113,33.30414084
367,121.1663376,33.31487571
368,121.1661579,33.441628
369,121.1672359,33.29367547
370,121.168269,33.6399311
371,121.1686732,33.60907397
372,121.1687271,32.68513873
373,121.1689427,32.69966449
374,121.1691224,33.59254497
375,121.1695895,33.43034516
376,121.1696164,32.73833696
377,121.1704698,33.66126608
378,121.1706944,32.67042433
379,121.1710986,32.74911674
380,121.1715029,32.62797893
381,121.1717275,33.32475718
382,121.1721766,33.44171783
383,121.1725359,32.64976307
384,121.1725359,33.29358564
385,121.1729851,33.41921503
386,121.1732546,33.3040061
387,121.1736588,33.64006584
388,121.1736588,32.71960709
389,121.1737936,33.31478588
390,121.1755453,33.58212451
391,121.1755902,33.59254497
392,121.1756127,33.60907397
393,121.1766233,32.73833696
394,121.1769602,32.67042433
395,121.1768119,32.70960884
396,121.1769377,33.43030922
397,121.1774767,33.32466735
398,121.177836,33.29363055
399,121.1782403,32.62663146
400,121.1783211,32.69963754
401,121.1782403,33.44158308
402,121.178914,33.41921503
403,121.1790937,33.63997601
404,121.1795428,32.74920658
405,121.1808005,33.30387135
406,121.1812496,33.31469605
407,121.1818784,33.3809468
408,121.1825522,32.68497703
409,121.1831361,32.67051416
410,121.1831361,33.29340598
411,121.1832259,33.32462243
412,121.1843039,33.44158308
413,121.1844386,33.64006584
414,121.1845734,33.43026431
415,121.1849776,33.41921503
416,121.1854717,32.62523907
417,121.1855166,33.37043651
418,121.1857861,32.71933759
419,121.1867293,32.74925149
420,121.1868641,32.73820221
421,121.1879421,33.3809468
422,121.1881666,32.64082484
423,121.1882565,32.69961957
424,121.1884361,33.29358564
425,121.1883463,33.30387135
426,121.1884361,33.35961181
427,121.1887505,33.31465113
428,121.1888853,33.32462243
429,121.1888553,33.39028928
430,121.1894692,32.67037941
431,121.1902328,33.44158308
432,121.1910412,33.41921503
433,121.1915129,32.70950104
434,121.1921192,33.4305338
435,121.192793,32.62393651
436,121.1938709,33.29336106
437,121.1940955,33.3703916
438,121.1942752,33.38108155
439,121.1944369,33.35957588
440,121.1947468,33.32448768
441,121.1952633,32.7495659
442,121.1955328,32.67024466
443,121.1957574,32.93843669
444,121.1958023,32.95294448
445,121.1956766,33.3038444
446,121.1960461,32.91019751
447,121.1960718,33.31460622
448,121.1964311,32.68484229
449,121.1963233,33.44150223
450,121.1968354,32.64064517
451,121.1967006,32.91000501
452,121.1969701,32.73820221
453,121.1971049,33.41908028
454,121.1979134,32.69939499
455,121.1980481,32.71927022
456,121.1990363,33.29340598
457,121.1999346,32.62258904
458,121.1998447,33.43030922
459,121.2004736,33.32448769
460,121.2006083,33.35965673
461,121.2008778,32.93843669
462,121.2014168,33.3809468
463,121.2017671,32.67026263
464,121.201821,32.91013976
465,121.2019109,33.47333853
466,121.2021804,33.48762174
467,121.201821,32.95266216
468,121.2022702,33.50379142
469,121.2024948,33.3037366
470,121.2030338,33.41921503
471,121.2033032,32.75032947
472,121.2037075,33.31465113
473,121.2046058,32.70932138
474,121.204516,33.29336106
475,121.2043812,33.37043651
476,121.2053245,33.44158308
477,121.2056479,32.64061822
478,121.2058095,32.93840974
479,121.2061329,33.32435294
480,121.2064024,32.62144369
481,121.2065821,32.73824713
482,121.2068516,33.35961181
483,121.2072109,32.90946603
484,121.2076152,32.69939499
485,121.2073906,32.91009484
486,121.207952,32.67015483
487,121.2076421,32.95256719
488,121.2081542,33.30360185
489,121.2081542,33.38087943
490,121.2090974,32.68484229
491,121.2092321,33.48330983
492,121.2099059,33.29336106
493,121.2100406,32.71920285
494,121.210355,33.47333853
495,121.2104449,33.48766666
496,121.2109838,32.93843669
497,121.2109838,33.50370158
498,121.2109838,33.51973651
499,121.2111186,32.64253164
500,121.2111635,33.31442655
501,121.211433,32.75163203
502,121.211972,33.32439785
503,121.2127625,33.41913418
504,121.2127356,33.44158308
505,121.2132745,32.62016359
506,121.2129473,32.91012051
507,121.2132296,32.95276482
508,121.2132745,33.35965673
509,121.2138135,33.30360185
510,121.2141279,32.670065
511,121.2142178,33.26614211
512,121.2150263,32.65371566
513,121.2149589,33.37030176
514,121.2152059,33.29313648
515,121.2154754,33.2555869
